AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
8.33,0.0,8.33,0.0,0.0,16.67,8.33,8.33,16.67,8.33,0.0,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,8.33
8.33,0.0,8.33,0.0,0.0,16.67,8.33,16.67,16.67,0.0,0.0,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,8.33
8.33,0.0,8.33,0.0,0.0,16.67,8.33,16.67,8.33,8.33,0.0,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,8.33
8.33,0.0,8.33,0.0,0.0,16.67,8.33,16.67,16.67,8.33,0.0,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,0.0
8.33,0.0,8.33,0.0,0.0,8.33,8.33,16.67,16.67,8.33,0.0,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,8.33
8.33,0.0,8.33,0.0,0.0,16.67,8.33,16.67,8.33,8.33,0.0,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,8.33
8.33,0.0,8.33,0.0,0.0,16.67,8.33,16.67,16.67,8.33,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,8.33
8.33,0.0,8.33,0.0,0.0,16.67,8.33,16.67,16.67,8.33,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,8.33
0.0,0.0,8.33,0.0,0.0,16.67,8.33,16.67,16.67,8.33,0.0,0.0,8.33,0.0,0.0,8.33,0.0,0.0,0.0,8.33
0.0,0.0,0.0,0.0,0.0,8.33,8.33,8.33,25.0,25.0,8.33,0.0,0.0,0.0,0.0,8.33,0.0,0.0,8.33,0.0
8.33,0.0,8.33,0.0,0.0,25.0,0.0,8.33,0.0,41.67,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,25.0,0.0,8.33,0.0,16.67,0.0,0.0,0.0,0.0,8.33,25.0,8.33,8.33,0.0,0.0
0.0,0.0,0.0,0.0,0.0,16.67,8.33,16.67,8.33,16.67,8.33,0.0,0.0,0.0,8.33,8.33,0.0,0.0,8.33,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.33,8.33,8.33,8.33,0.0,0.0,16.67,8.33,8.33,8.33,0.0,0.0,16.67,8.33
0.0,0.0,0.0,0.0,8.33,8.33,0.0,25.0,33.33,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0
0.0,0.0,0.0,0.0,0.0,25.0,0.0,16.67,8.33,41.67,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,16.67,0.0,16.67,8.33,41.67,0.0,0.0,0.0,0.0,0.0,8.33,8.33,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16.67,33.33,0.0,0.0,8.33,0.0,8.33,8.33,0.0,0.0,0.0,0.0
8.33,8.33,8.33,8.33,8.33,0.0,8.33,25.0,0.0,8.33,0.0,8.33,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0
8.33,0.0,0.0,0.0,0.0,8.33,8.33,25.0,16.67,16.67,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0
16.67,0.0,0.0,0.0,0.0,0.0,0.0,8.33,8.33,16.67,0.0,0.0,8.33,0.0,16.67,0.0,8.33,16.67,0.0,0.0
0.0,16.67,0.0,0.0,8.33,0.0,0.0,25.0,0.0,8.33,0.0,0.0,0.0,0.0,33.33,0.0,0.0,8.33,0.0,0.0
0.0,16.67,0.0,0.0,0.0,0.0,0.0,16.67,0.0,8.33,0.0,0.0,0.0,0.0,33.33,0.0,0.0,25.0,0.0,0.0
8.33,16.67,0.0,0.0,8.33,0.0,8.33,16.67,0.0,8.33,0.0,0.0,16.67,0.0,8.33,0.0,0.0,8.33,0.0,0.0
8.33,16.67,0.0,0.0,0.0,0.0,0.0,16.67,0.0,8.33,0.0,0.0,16.67,0.0,8.33,0.0,0.0,8.33,0.0,16.67
0.0,0.0,0.0,8.33,8.33,0.0,8.33,8.33,0.0,16.67,0.0,0.0,0.0,8.33,16.67,16.67,0.0,8.33,0.0,0.0
0.0,0.0,0.0,8.33,0.0,0.0,8.33,8.33,8.33,8.33,8.33,0.0,0.0,8.33,16.67,16.67,0.0,8.33,0.0,0.0
0.0,8.33,0.0,8.33,0.0,0.0,8.33,8.33,0.0,8.33,0.0,0.0,0.0,8.33,25.0,16.67,0.0,8.33,0.0,0.0
0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,8.33,0.0,8.33,25.0,16.67,0.0,0.0,16.67,16.67,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,25.0,0.0,8.33,16.67,0.0,0.0,25.0,0.0,8.33,0.0,8.33
7.69,0.0,0.0,0.0,7.69,15.38,0.0,0.0,15.38,7.69,0.0,0.0,0.0,7.69,0.0,7.69,15.38,7.69,0.0,7.69
15.38,0.0,7.69,7.69,0.0,0.0,0.0,0.0,7.69,7.69,0.0,7.69,7.69,0.0,7.69,0.0,15.38,15.38,0.0,0.0
7.69,0.0,0.0,7.69,7.69,30.77,7.69,0.0,0.0,0.0,7.69,0.0,7.69,7.69,0.0,0.0,0.0,7.69,7.69,0.0
0.0,0.0,0.0,15.38,0.0,0.0,0.0,7.69,7.69,15.38,0.0,7.69,15.38,0.0,15.38,0.0,0.0,0.0,0.0,15.38
0.0,0.0,0.0,0.0,15.38,7.69,0.0,15.38,15.38,23.08,0.0,0.0,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,23.08,15.38,0.0,7.69,7.69,30.77,0.0,0.0,7.69,0.0,0.0,0.0,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,23.08,15.38,0.0,7.69,7.69,23.08,0.0,0.0,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,15.38,15.38,0.0,7.69,7.69,30.77,0.0,0.0,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,15.38,15.38,0.0,7.69,7.69,23.08,0.0,0.0,7.69,0.0,7.69,0.0,0.0,7.69,0.0,7.69
0.0,0.0,0.0,0.0,15.38,15.38,0.0,23.08,0.0,15.38,0.0,7.69,7.69,0.0,7.69,0.0,0.0,7.69,0.0,0.0
15.38,0.0,0.0,0.0,15.38,15.38,0.0,15.38,7.69,15.38,0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,30.77,15.38,0.0,23.08,7.69,7.69,0.0,0.0,0.0,0.0,7.69,7.69,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,23.08,15.38,0.0,30.77,15.38,7.69,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,15.38,15.38,0.0,30.77,15.38,15.38,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,15.38,7.69,0.0,7.69,0.0,30.77,0.0,0.0,7.69,0.0,7.69,15.38,0.0,7.69,0.0,0.0
15.38,0.0,0.0,0.0,23.08,7.69,0.0,15.38,7.69,15.38,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0
15.38,0.0,0.0,0.0,15.38,7.69,0.0,15.38,7.69,15.38,7.69,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0
7.69,0.0,0.0,0.0,7.69,23.08,0.0,15.38,7.69,23.08,7.69,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
7.69,0.0,0.0,0.0,7.69,23.08,0.0,15.38,7.69,23.08,7.69,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0
7.69,0.0,0.0,0.0,7.69,15.38,0.0,15.38,7.69,23.08,7.69,0.0,0.0,0.0,0.0,7.69,7.69,0.0,0.0,0.0
15.38,0.0,0.0,0.0,7.69,23.08,0.0,7.69,7.69,30.77,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.38,0.0,0.0,0.0,15.38,15.38,0.0,23.08,7.69,15.38,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
15.38,0.0,0.0,0.0,15.38,7.69,0.0,0.0,7.69,15.38,0.0,7.69,0.0,0.0,0.0,7.69,0.0,15.38,7.69,0.0
0.0,0.0,0.0,0.0,7.69,23.08,0.0,15.38,0.0,30.77,0.0,7.69,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,7.69,7.69,15.38,0.0,0.0,7.69,0.0,15.38,0.0,0.0,0.0,23.08,0.0
7.69,0.0,0.0,0.0,7.69,23.08,0.0,7.69,7.69,38.46,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
7.69,0.0,0.0,0.0,7.69,15.38,0.0,0.0,7.69,30.77,7.69,7.69,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0
15.38,0.0,0.0,0.0,15.38,7.69,0.0,15.38,0.0,23.08,0.0,0.0,7.69,7.69,0.0,7.69,0.0,0.0,0.0,0.0
7.69,0.0,0.0,0.0,15.38,7.69,0.0,7.69,7.69,30.77,0.0,0.0,7.69,0.0,0.0,0.0,7.69,7.69,0.0,0.0
7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,7.69,38.46,0.0,0.0,7.69,0.0,0.0,15.38,0.0,7.69,0.0,0.0
7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,7.69,38.46,0.0,0.0,7.69,0.0,0.0,7.69,7.69,7.69,0.0,0.0
7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,7.69,38.46,0.0,0.0,7.69,0.0,0.0,7.69,7.69,7.69,0.0,0.0
0.0,0.0,0.0,0.0,15.38,7.69,0.0,15.38,15.38,30.77,0.0,0.0,7.69,0.0,0.0,7.69,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,15.38,15.38,0.0,0.0,7.69,38.46,0.0,7.69,7.69,0.0,0.0,0.0,0.0,7.69,0.0,0.0
15.38,0.0,0.0,0.0,7.69,15.38,0.0,15.38,7.69,23.08,7.69,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.69,0.0,0.0,0.0,7.69,7.69,0.0,15.38,7.69,30.77,0.0,0.0,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,15.38,7.69,38.46,0.0,0.0,7.69,0.0,0.0,7.69,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,15.38,0.0,38.46,0.0,0.0,7.69,7.69,0.0,7.69,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.69,7.69,0.0,15.38,7.69,38.46,0.0,7.69,7.69,0.0,0.0,0.0,7.69,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,15.38,7.69,38.46,0.0,0.0,7.69,0.0,0.0,7.69,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,7.69,0.0,46.15,0.0,7.69,7.69,0.0,0.0,7.69,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,15.38,15.38,0.0,7.69,7.69,30.77,0.0,0.0,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,7.69,7.69,38.46,0.0,0.0,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,23.08,0.0,23.08,0.0,0.0,7.69,0.0,7.69,7.69,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,15.38,0.0,30.77,0.0,0.0,7.69,0.0,7.69,7.69,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,7.69,7.69,0.0,7.69,0.0,38.46,0.0,7.69,7.69,0.0,0.0,7.69,7.69,7.69,0.0,0.0
7.69,0.0,0.0,0.0,15.38,7.69,0.0,7.69,7.69,38.46,0.0,0.0,7.69,0.0,0.0,7.69,0.0,0.0,0.0,0.0
7.69,0.0,0.0,0.0,15.38,15.38,0.0,15.38,7.69,30.77,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,15.38,7.69,30.77,0.0,0.0,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,15.38,0.0,30.77,0.0,0.0,7.69,0.0,7.69,7.69,0.0,7.69,0.0,0.0
7.69,0.0,0.0,0.0,7.69,0.0,0.0,15.38,7.69,30.77,0.0,0.0,7.69,0.0,7.69,0.0,7.69,7.69,0.0,0.0
7.69,0.0,0.0,0.0,23.08,7.69,0.0,0.0,0.0,38.46,0.0,0.0,7.69,0.0,0.0,15.38,0.0,0.0,0.0,0.0
7.69,0.0,0.0,0.0,23.08,0.0,0.0,0.0,0.0,38.46,0.0,0.0,7.69,0.0,7.69,15.38,0.0,0.0,0.0,0.0
7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,46.15,0.0,0.0,7.69,0.0,7.69,15.38,0.0,0.0,0.0,0.0
7.69,0.0,0.0,0.0,15.38,7.69,7.69,7.69,0.0,38.46,0.0,0.0,7.69,0.0,0.0,7.69,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,0.0,0.0,53.85,0.0,7.69,7.69,0.0,7.69,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,15.38,7.69,30.77,0.0,0.0,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,0.0,0.0,46.15,0.0,0.0,7.69,0.0,0.0,7.69,7.69,7.69,0.0,0.0
0.0,0.0,0.0,0.0,15.38,7.69,0.0,0.0,7.69,38.46,7.69,0.0,7.69,0.0,0.0,0.0,7.69,7.69,0.0,0.0
7.69,0.0,0.0,0.0,15.38,7.69,0.0,7.69,7.69,30.77,0.0,0.0,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0
15.38,0.0,0.0,0.0,15.38,7.69,0.0,7.69,7.69,23.08,7.69,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0
7.69,0.0,0.0,0.0,23.08,7.69,0.0,15.38,7.69,15.38,0.0,0.0,0.0,0.0,0.0,15.38,7.69,0.0,0.0,0.0
7.69,0.0,0.0,0.0,7.69,7.69,0.0,7.69,7.69,38.46,0.0,0.0,0.0,0.0,0.0,15.38,7.69,0.0,0.0,0.0
0.0,0.0,0.0,0.0,15.38,23.08,0.0,7.69,7.69,23.08,7.69,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,0.0
7.69,0.0,0.0,0.0,23.08,7.69,7.69,7.69,0.0,23.08,0.0,7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0
7.69,0.0,0.0,0.0,15.38,7.69,0.0,15.38,7.69,23.08,0.0,0.0,0.0,0.0,0.0,15.38,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,15.38,7.69,30.77,0.0,7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.69,7.69,0.0,15.38,7.69,23.08,0.0,7.69,0.0,0.0,0.0,15.38,7.69,0.0,7.69,0.0
15.38,0.0,0.0,0.0,15.38,0.0,0.0,7.69,7.69,15.38,0.0,7.69,0.0,0.0,0.0,15.38,7.69,0.0,7.69,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,15.38,0.0,15.38,15.38,0.0,7.69,0.0,7.69,15.38,0.0,0.0,0.0,0.0
0.0,15.38,0.0,0.0,15.38,0.0,0.0,7.69,7.69,7.69,7.69,0.0,7.69,0.0,15.38,15.38,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,23.08,7.69,0.0,7.69,7.69,15.38,0.0,0.0,0.0,7.69,7.69,7.69,0.0,7.69,7.69,0.0
7.69,0.0,0.0,0.0,7.69,15.38,0.0,0.0,23.08,30.77,7.69,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0
7.69,0.0,7.69,7.69,15.38,7.69,0.0,23.08,15.38,7.69,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
7.69,0.0,7.69,7.69,7.69,7.69,0.0,30.77,15.38,7.69,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
0.0,0.0,7.69,0.0,15.38,15.38,0.0,23.08,7.69,15.38,0.0,7.69,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
0.0,0.0,7.69,0.0,7.69,7.69,0.0,23.08,7.69,15.38,0.0,7.69,0.0,0.0,0.0,7.69,7.69,7.69,0.0,0.0
0.0,0.0,15.38,0.0,15.38,7.69,0.0,7.69,15.38,15.38,0.0,0.0,0.0,0.0,0.0,7.69,0.0,15.38,0.0,0.0
0.0,0.0,15.38,0.0,15.38,7.69,0.0,0.0,15.38,23.08,0.0,0.0,0.0,0.0,0.0,15.38,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,7.69,61.54,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0
15.38,0.0,7.69,0.0,7.69,7.69,7.69,7.69,7.69,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,23.08,7.69,0.0
0.0,0.0,0.0,0.0,0.0,38.46,30.77,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,15.38,0.0,0.0
15.38,0.0,0.0,0.0,15.38,15.38,0.0,23.08,7.69,15.38,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.69,0.0,0.0,0.0,7.69,15.38,0.0,23.08,7.69,15.38,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,7.69,0.0
7.69,0.0,0.0,0.0,15.38,15.38,0.0,23.08,7.69,7.69,0.0,7.69,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0
7.69,7.69,0.0,0.0,7.69,7.69,0.0,23.08,15.38,7.69,0.0,0.0,0.0,0.0,7.69,7.69,0.0,0.0,7.69,0.0
7.69,0.0,0.0,0.0,15.38,7.69,0.0,23.08,15.38,7.69,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,7.69,0.0
15.38,0.0,0.0,0.0,7.69,7.69,0.0,15.38,0.0,30.77,0.0,7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0
7.69,0.0,0.0,0.0,7.69,7.69,0.0,15.38,15.38,15.38,0.0,0.0,15.38,0.0,0.0,0.0,7.69,0.0,0.0,7.69
0.0,0.0,7.69,7.69,0.0,15.38,0.0,30.77,15.38,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0
0.0,7.69,7.69,7.69,7.69,7.69,0.0,23.08,15.38,7.69,0.0,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0,0.0
7.69,0.0,0.0,7.69,7.69,15.38,0.0,23.08,15.38,15.38,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.69,7.69,15.38,0.0,23.08,15.38,23.08,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,23.08,30.77,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.69,7.69,15.38,0.0,30.77,15.38,7.69,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0
0.0,0.0,0.0,7.69,7.69,15.38,0.0,23.08,15.38,15.38,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,23.08,23.08,15.38,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0
0.0,0.0,0.0,0.0,7.69,7.69,0.0,38.46,7.69,15.38,0.0,0.0,7.69,0.0,0.0,7.69,7.69,0.0,0.0,0.0
7.69,0.0,0.0,0.0,0.0,15.38,0.0,23.08,0.0,38.46,0.0,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,15.38,0.0,15.38,0.0,46.15,0.0,15.38,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.69,0.0,15.38,0.0,46.15,0.0,15.38,7.69,0.0,0.0,7.69,0.0,0.0,0.0,0.0
0.0,0.0,7.69,0.0,0.0,7.69,0.0,7.69,0.0,46.15,0.0,15.38,7.69,0.0,0.0,0.0,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,7.69,7.69,0.0,0.0,23.08,0.0,15.38,0.0,0.0,0.0,38.46,0.0
0.0,0.0,0.0,0.0,7.69,7.69,0.0,23.08,7.69,15.38,0.0,7.69,0.0,0.0,0.0,15.38,0.0,0.0,7.69,7.69
0.0,0.0,0.0,0.0,15.38,0.0,0.0,15.38,15.38,7.69,0.0,0.0,15.38,0.0,0.0,0.0,15.38,15.38,0.0,0.0
7.69,0.0,0.0,0.0,0.0,15.38,0.0,23.08,7.69,15.38,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,15.38,0.0
0.0,0.0,0.0,0.0,0.0,15.38,0.0,7.69,0.0,53.85,0.0,15.38,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,7.69,46.15,0.0,7.69,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,46.15,0.0,15.38,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,15.38,0.0,0.0,15.38,0.0,15.38,0.0,0.0,0.0,38.46,0.0
0.0,0.0,0.0,7.69,0.0,0.0,7.69,7.69,15.38,30.77,0.0,0.0,0.0,0.0,7.69,0.0,0.0,15.38,0.0,7.69
7.69,0.0,0.0,7.69,7.69,15.38,0.0,7.69,15.38,0.0,0.0,0.0,0.0,7.69,15.38,7.69,7.69,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,23.08,0.0,46.15,0.0,0.0,0.0,23.08,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.08,0.0,46.15,0.0,0.0,0.0,30.77,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.08,0.0,38.46,0.0,0.0,0.0,38.46,0.0
0.0,0.0,0.0,0.0,7.69,15.38,0.0,0.0,15.38,7.69,0.0,0.0,0.0,7.69,0.0,15.38,15.38,7.69,0.0,7.69
0.0,0.0,0.0,7.69,15.38,7.69,0.0,0.0,7.69,7.69,0.0,7.69,15.38,7.69,0.0,23.08,0.0,0.0,0.0,0.0
